X*,Y*,date_index
3398407.4405931314,-9456499.33102227,1.0
3400805.108861674,-9451280.3157635,2.0
3403504.6430633394,-9452329.975376353,3.0
3407080.7821835275,-9479825.521364827,4.0
3412901.5684875892,-9500803.460854959,5.0
3418875.37181613,-9515752.888200507,6.0
3426852.6479276167,-9534760.554252574,7.0
3433742.0729213683,-9551059.446499906,8.0
3440994.060137804,-9568053.862374691,9.0
3448318.5231210263,-9585004.047047246,10.0
3456585.687896862,-9603812.930797417,11.0
3463112.3623195547,-9618407.231937282,12.0
3470219.1446324233,-9633945.89194536,13.0
3477833.5137681914,-9650190.162629586,14.0
3485157.7663409645,-9665299.821220439,15.0
3491974.358878328,-9678881.472518902,16.0
3498935.943511563,-9692159.06651163,17.0
3507130.261902626,-9707054.263355719,18.0
3514381.8273323462,-9719516.716299098,19.0
3525077.8119243123,-9736548.050577974,20.0
3531459.105417886,-9745944.991602924,21.0
3539653.2164044664,-9756992.744741995,22.0
3546106.9519243683,-9764986.223550169,23.0
3550929.1070858086,-9770564.267521555,24.0
3557926.6294103153,-9777714.045675028,25.0
3564924.115659989,-9784018.972965173,26.0
3569129.842521006,-9787425.61926085,27.0
3575365.8835036634,-9791568.431846572,28.0
3582254.4864794994,-9794970.44777187,29.0
3607415.64642287,-9798146.91636864,30.0
3620902.52301187,-9797718.16771344,31.0
3629712.406512197,-9795162.418759728,32.0
3637253.300106974,-9791129.680738106,33.0
3646425.5815507895,-9784945.638913892,34.0
3654655.201900108,-9778192.633992989,35.0
3663392.321393218,-9769878.791659983,36.0
3670207.9548184252,-9762504.134446533,37.0
3677241.06613608,-9754112.287485976,38.0
3683295.3120917026,-9746385.93748834,39.0
3691488.4319435265,-9735136.316966834,40.0
3698122.6535353744,-9725602.44004218,41.0
3698158.9138199617,-9725648.91280521,42.0
3703052.982686784,-9718240.800433496,43.0
3707584.504993092,-9711140.1713714,44.0
3713457.337992375,-9701750.627252039,45.0
3720562.7109292,-9690152.913940806,46.0
3726616.748693714,-9680068.056008982,47.0
3727269.285086553,-9679010.558116196,48.0
3731329.454723295,-9672120.884459587,49.0
3740029.7797144335,-9657247.190470545,50.0
3745829.9645384382,-9647279.061080683,51.0
3752645.141064156,-9635599.643664004,52.0
3759967.7935884595,-9623143.372655591,53.0
3768232.91578064,-9609331.111682914,54.0
3774757.971739558,-9598679.888839291,55.0
3783421.744623722,-9585023.570363438,56.0
3789221.7265971913,-9576221.345064815,57.0
3798429.128000228,-9563235.220063679,58.0
3812385.1091581215,-9545415.483341357,59.0
3821374.8750780835,-9535073.592239678,60.0
3829965.826197893,-9526719.01430808,61.0
3837795.489072357,-9520607.263382506,62.0
3852294.7438607197,-9512312.029363075,63.0
3861102.985675594,-9508771.27217544,64.0
3866250.141924673,-9508013.044008367,65.0
3872557.1957833017,-9507810.431932876,66.0
3877233.1132187904,-9507710.45274935,67.0
3880495.3723951466,-9507898.406937195,68.0
3881123.1325217183,-9508180.647764158,69.0
3880751.716945318,-9509619.539458996,70.0
3865075.530698012,-9515539.225560699,71.0
3838124.5676593767,-9523193.42206226,72.0
3830161.413415684,-9525237.778372861,73.0
3821562.055880953,-9525940.398628972,74.0
3757070.140365587,-9531663.954809686,75.0
3665633.218900127,-9546588.453750838,76.0
3612318.348022501,-9558320.059917368,77.0
3596429.471685509,-9564662.480933024,78.0
3569343.7359543685,-9576178.320567738,79.0
3518106.578496424,-9603673.684641615,80.0
3495866.4321777327,-9622564.423427872,81.0
3482030.740803455,-9639750.980853291,82.0
3468517.0536292004,-9660541.645679066,83.0
3456189.88871391,-9681520.16847594,84.0
3446523.6628758227,-9700050.21640112,85.0
3436246.7348302878,-9722139.400808264,86.0
3427210.6792593687,-9747101.664054148,87.0
3417266.2763271863,-9774625.974446177,88.0
3410138.422623298,-9800171.149997583,89.0
3407194.2410766575,-9813565.76878311,90.0
3411889.1488972884,-9828416.449502701,91.0
3460623.5573587487,-9850667.829873677,92.0
3507067.4846679317,-9876165.8951186,93.0
3457137.2461780156,-9913532.863819249,94.0
3430023.479309207,-9937668.271830523,95.0
3401009.0448193783,-9974728.179441497,96.0
3396181.351107487,-10002158.655768262,97.0
3400300.659389714,-10034918.063244954,98.0
3407148.7250012513,-10062693.478943732,99.0
3416224.6146927965,-10091599.659434086,100.0
3428351.27091268,-10122696.910754232,101.0
3445852.694253308,-10157920.404650027,102.0
3465293.354405384,-10191522.474213235,103.0
3484391.125112301,-10219789.193042971,104.0
3503277.9870763295,-10244497.100731242,105.0
3518456.419141643,-10263143.789660465,106.0
3538319.9998656176,-10284615.813727058,107.0
3567666.548258402,-10313099.523794118,108.0
3597989.1073879097,-10339501.851678638,109.0
3630911.107377288,-10365011.446513278,110.0
3678755.6172929616,-10397728.094858129,111.0
3745884.2108211326,-10438134.939787764,112.0
3764245.468020389,-10448737.837142823,113.0
3781979.3532460947,-10458305.194738306,114.0
3811075.4852150576,-10468368.446928063,115.0
3933977.3919755067,-10486700.180497687,116.0
4005862.7135775685,-10505290.92973153,117.0
4063796.716948976,-10530084.097724687,118.0
4098189.685128597,-10570505.693073113,119.0
4104837.3579869885,-10582257.643247647,120.0
4106249.191811485,-10583103.741720462,121.0
4148415.9487263514,-10596362.138088139,122.0
4197444.001420825,-10621687.581139361,123.0
4208592.223537867,-10637913.09974921,124.0
4206845.779755575,-10648246.177204411,125.0
4181225.2267614836,-10694035.53601547,126.0
4178662.716237807,-10704255.309119964,127.0
4208333.836405301,-10713387.925758038,128.0
4221066.658185187,-10716391.278102906,129.0
4222508.109707438,-10716731.280255158,130.0
4246488.711265776,-10721920.067145916,131.0
4271066.449609473,-10727567.947422137,132.0
4367669.040930545,-10738833.08288059,133.0
4450167.61792614,-10747814.698280716,134.0
4605566.928202547,-10765699.96836241,135.0
4687499.867853328,-10776031.496528614,136.0
4738103.251083368,-10783414.473003846,137.0
4811289.104311336,-10791434.964347336,138.0
4962023.8667269545,-10807801.77800942,139.0
5063525.654434635,-10820751.180168815,140.0
5136087.559986592,-10829868.406720333,141.0
5280475.185236139,-10845888.363743672,142.0
