X,Y,date_index
3445897.788407033,-9450757.734041216,1.0
3445897.73479452,-9450757.734041216,2.0
3460246.556618786,-9452769.075009445,3.0
3474595.2170113144,-9454780.41597767,4.0
3488943.7151840315,-9456791.756945891,5.0
3503292.05177094,-9458803.097543055,6.0
3517640.225832737,-9460814.438140215,7.0
3531988.237424725,-9462825.778737376,8.0
3546336.085885405,-9464837.119705604,9.0
3560683.7715508663,-9466848.460673831,10.0
3575031.294469457,-9468859.801642058,11.0
3589378.6544004045,-9470871.14223922,12.0
3603725.8508124114,-9472882.48283638,13.0
3618072.883748017,-9474893.82343354,14.0
3632419.752959417,-9476905.1640307,15.0
3646766.458340957,-9478916.504998928,16.0
3661112.999498365,-9480927.845967151,17.0
3675459.376614173,-9482939.18693538,18.0
3689805.590016484,-9484950.52753254,19.0
3704151.63887338,-9486961.868129702,20.0
3718497.523369689,-9488973.208726864,21.0
3732843.242963941,-9490984.54969509,22.0
3747188.7981317616,-9492995.890663316,23.0
3761534.188626477,-9495007.231631542,24.0
3775879.4139079936,-9497018.572228704,25.0
3790224.474461728,-9499029.912825866,26.0
3804569.369607218,-9501041.253423028,27.0
3818914.099688413,-9503052.594391253,28.0
3833258.664323998,-9505063.93535948,29.0
3847603.0632799673,-9507075.276327709,30.0
3861947.296915328,-9509086.616924869,31.0
3876291.36485989,-9511097.957522027,32.0
3890635.267336,-9513109.298119187,33.0
3904979.003836333,-9515120.639087414,34.0
3919322.5748927854,-9517131.98005564,35.0
3933665.979861085,-9519143.321023868,36.0
3948009.219140107,-9521154.661621029,37.0
3962352.291952708,-9523166.002218189,38.0
3976695.1990100634,-9525177.342815353,39.0
3991037.9398475154,-9527188.683783576,40.0
4005380.5146027855,-9529200.024751805,41.0
4019722.922679122,-9531211.36572003,42.0
4034065.164533511,-9533222.706317192,43.0
4034065.164533511,-9533222.706317192,44.0
4048407.2398881833,-9535234.046914352,45.0
4062749.149523344,-9537245.387511512,46.0
4077090.892587466,-9539256.728108674,47.0
4077090.892587466,-9539256.728108674,48.0
4069920.076512751,-9538251.057810094,49.0
4084261.736598145,-9540262.398407254,50.0
4098603.229702152,-9542273.739561014,51.0
4112944.556953511,-9544285.080714772,52.0
4127285.717844896,-9546296.421311934,53.0
4141626.7115818704,-9548307.761909094,54.0
4155967.538437036,-9550319.102506256,55.0
4170308.199078943,-9552330.443103418,56.0
4184648.6938932026,-9554341.784257175,57.0
4198989.022300975,-9556353.125410937,58.0
4213329.183435415,-9558364.466008095,59.0
4227669.178192009,-9560375.806605255,60.0
4242009.006499041,-9562387.147202415,61.0
4256348.668003828,-9564398.48779958,62.0
4277857.814155699,-9567415.49943745,63.0
4292197.059758974,-9569426.840405677,64.0
4306536.139144647,-9571438.18100284,65.0
4320875.052057601,-9573449.5216,66.0
4335213.7984177945,-9575460.86219716,67.0
4363890.681288485,-9579483.5440594,68.0
4378228.92857304,-9581494.8848792,69.0
4392567.010048541,-9583506.225699002,70.0
4406904.925154338,-9585517.56629616,71.0
4421242.673881647,-9587528.907115962,72.0
4435580.256776901,-9589540.24793576,73.0
4449917.67355169,-9591551.58875556,74.0
4457086.381788712,-9592557.259221122,75.0
4471423.549508667,-9594568.60009658,76.0
4485760.551434784,-9596579.940693744,77.0
4500097.387281898,-9598591.281290906,78.0
4514434.057537568,-9600602.621888066,79.0
4535938.800456692,-9603619.633154873,80.0
4550275.056466575,-9605630.974123098,81.0
4564611.146911421,-9607642.315091323,82.0
4578947.0720953,-9609653.655688483,83.0
4593282.832046411,-9611664.996285643,84.0
4600450.601990797,-9612670.666584227,85.0
4614786.114183363,-9614682.007459687,86.0
4629121.461118302,-9616693.348335149,87.0
4643456.642927913,-9618704.689210609,88.0
4657791.659474141,-9620716.030086068,89.0
4672126.511412925,-9622727.37068323,90.0
4686461.198417023,-9624738.71128039,91.0
4700795.720957567,-9626750.05215585,92.0
4715130.079237189,-9628761.393031308,93.0
4729464.27282986,-9630772.733906768,94.0
4743798.3024720205,-9632784.07478223,95.0
4758132.167914802,-9634795.41537939,96.0
4772465.868998928,-9636806.755976552,97.0
4786799.406376073,-9638818.096852012,98.0
4801132.779711623,-9640829.437727472,99.0
4815465.98912229,-9642390.77846696,100.0
4829799.035183371,-9643502.119348772,101.0
4844131.917844167,-9644163.460094614,102.0
4858464.637148357,-9644374.80070448,103.0
4872797.193237166,-9644586.141592648,104.0
4887129.586354686,-9644797.482480817,105.0
4901461.816479435,-9645008.823090686,106.0
4915793.883689279,-9645220.163978852,107.0
4930125.788531161,-9645431.50486702,108.0
4944457.53092768,-9645642.845476888,109.0
4958789.110902683,-9645854.186365057,110.0
4973120.528952645,-9646065.527253222,111.0
4987451.7849484775,-9646276.86786309,112.0
5001782.878868608,-9646488.208751258,113.0
5016113.811167751,-9646699.549361126,114.0
5030444.582044145,-9646910.889970995,115.0
5044775.191436465,-9647122.230859162,116.0
5059105.639767784,-9647333.571469031,117.0
5073435.92720525,-9647544.912357198,118.0
5087766.05365918,-9647756.253245365,119.0
5102096.019525975,-9647967.593855234,120.0
5116425.82495114,-9648178.9347434,121.0
5130755.469823971,-9648390.275631567,122.0
5145084.954526054,-9648601.616241436,123.0
5159414.279186556,-9648812.957129603,124.0
5173743.444059441,-9649024.29801777,125.0
5188072.449520357,-9649235.63862764,126.0
5202401.295695568,-9649446.979515808,127.0
5216729.982836373,-9649658.320403976,128.0
5231058.510568841,-9649869.661013843,129.0
5245386.879400893,-9650081.00190201,130.0
5259715.089592802,-9650292.342790175,131.0
5274043.141536208,-9650503.683400044,132.0
5288371.035375147,-9650715.024288213,133.0
5302698.771390877,-9649007.24581987,134.0
5317026.349235539,-9645482.5554289,135.0
5331353.769460089,-9640140.953393592,136.0
5345681.032369815,-9632982.439157354,137.0
5360008.138030567,-9625926.13235499,138.0
5374335.087026487,-9618869.825552627,139.0
5388661.878937465,-9611813.518471966,140.0
5410151.598065612,-9601229.05812927,141.0
5424477.99933756,-9594172.751326907,142.0
5438804.244492922,-9587116.444524543,143.0
5453130.334339365,-9580060.137443878,144.0
5467456.267902143,-9573003.830641516,145.0
5488944.819451588,-9562921.54532353,146.0
5503270.365654601,-9555144.251678962,147.0
5514014.467294671,-9548628.859084103,148.0
5530488.539686611,-9538268.651632976,149.0
5553408.733045487,-9522889.39220788,150.0
5567733.545948689,-9510940.436546372,151.0
5582058.243820488,-9498991.480606563,152.0
5567733.686705757,-9510940.436360842,153.0
5596382.711780948,-9487042.524666756,154.0
5610707.102967365,-9475093.569283549,155.0
5630760.998479715,-9458365.031079134,156.0
5646517.457000915,-9445221.179573176,157.0
5668003.254807383,-9427297.745802617,158.0
5668003.356036775,-9427297.745802617,159.0
5682326.984508003,-9415348.789955571,160.0
5696650.46123409,-9403399.834108531,161.0
5725296.859791746,-9379501.922488663,162.0
5721716.066376983,-9382489.16137621,163.0
5739619.770035049,-9367552.966660174,164.0
5753942.6424054,-9355604.010720368,165.0
5768265.364659633,-9343655.054780558,166.0
5788316.927741624,-9326926.516687468,167.0
5811232.74266674,-9307808.187406411,168.0
5825554.865277893,-9295859.231633583,169.0
5839876.83894335,-9283910.275860757,170.0
5854198.663467089,-9271961.320087928,171.0
5868520.339404064,-9260012.3643151,172.0
5882841.866769958,-9248063.408542272,173.0
5882841.965634064,-9248063.408468058,174.0
5897163.344721212,-9236114.452621017,175.0
5911484.576390654,-9224165.496773977,176.0
5925805.660340381,-9212216.540926931,177.0
5918645.167396802,-9218191.018664924,178.0
5954447.386603229,-9188318.629232852,179.0
5968768.029425297,-9176369.673385808,180.0
5997408.779012824,-9152471.761691729,181.0
5983088.526090161,-9164420.717538768,182.0
5997408.876326308,-9152471.761691729,183.0
6026048.934012076,-9128573.85009041,184.0
6026049.139219676,-9128573.849997642,185.0
6054688.616613738,-9104675.938489094,186.0
6054688.821648471,-9104675.938303562,187.0
6083327.924416409,-9080778.026980544,188.0
6097647.259198005,-9068829.0711335,189.0
6122705.640114262,-9047918.398401178,190.0
6119125.94998848,-9050905.637455706,191.0
6133444.925748498,-9038956.681515897,192.0
6147763.758022597,-9027007.72557609,193.0
6159324.286481544,-9015058.76991458,194.0
6168377.286704696,-9003109.813974772,195.0
6174853.564007348,-8991160.858034967,196.0
6179769.96369486,-8973237.42443138,197.0
6181580.540013772,-8967262.946433648,198.0
6185241.358891858,-8949339.512663087,199.0
6186344.618715954,-8943365.034832332,200.0
6188099.802020023,-8931416.078892523,201.0
6189353.502474703,-8919467.122952716,202.0
6190356.462201385,-8907518.167291207,203.0
6191359.421190584,-8895569.211351398,204.0
6192613.118377401,-8883620.255411591,205.0
6194869.7703744415,-8865696.821808008,206.0
6196273.908123444,-8853747.866035182,207.0
6197678.044898629,-8841798.910262352,208.0
6198791.761912798,-8829849.954489524,209.0
6199103.115592761,-8817900.998716695,210.0
6199409.235241593,-8811926.52088594,211.0
6198795.473588967,-8799977.564946134,212.0
6197429.495779133,-8788028.609006325,213.0
6195423.585898289,-8776079.653344816,214.0
6193417.673420813,-8764130.69740501,215.0
6191411.757953073,-8752181.741465202,216.0
6189405.839941232,-8740232.785803694,217.0
6187399.918991656,-8728283.829863884,218.0
6185393.995130112,-8716334.873924077,219.0
6183388.06880256,-8704385.918262567,220.0
6181382.1391955605,-8692436.96232276,221.0
6179376.207174175,-8680488.006382952,222.0
6177370.272344365,-8668539.050721442,223.0
6175364.334312683,-8656590.094781633,224.0
6173358.393943297,-8644641.139120126,225.0
6171352.450423252,-8632692.183458619,226.0
6169346.504196914,-8620743.22751881,227.0
6167340.555289932,-8608794.271857303,228.0
6165334.6037270725,-8596845.315917492,229.0
6163328.649533783,-8584896.359977685,230.0
6161322.692316208,-8572947.404316176,231.0
6159316.732099794,-8560998.448376369,232.0
6156307.785460491,-8543075.014605807,233.0
6154301.818241064,-8531126.058832979,234.0
6152295.848193198,-8519177.102837512,235.0
6151292.863414093,-8513202.624895439,236.0
6149286.88941141,-8501253.66923393,237.0
6147280.912140169,-8489304.71329412,238.0
6146277.923368435,-8483330.2353706,239.0
6144271.94234743,-8471381.279523557,240.0
6142265.958397466,-8459432.323676517,241.0
6140259.972099683,-8447483.367829474,242.0
6138253.98236459,-8435534.412353499,243.0
6136247.989773128,-8423585.456506455,244.0
6135244.991683813,-8417610.97849017,245.0
6131834.793326414,-8397297.753642965,246.0
6129828.792338262,-8385348.797870139,247.0
6127822.788149028,-8373399.841874671,248.0
6126217.984257012,-8363840.677345464,249.0
6119175.834572611,-8351891.721349995,250.0
6116913.794786572,-8345917.243407921,251.0
6113812.397688231,-8339942.765577166,252.0
6108612.607554452,-8333968.287468113,253.0
6095019.249080974,-8327993.80935906,254.0
6035016.108826734,-8306559.324061537,255.0
6007806.84616302,-8302571.262393954,256.0
5962746.03120976,-8305466.687915463,257.0
5962746.03120976,-8305466.687915463,258.0
5957872.616488987,-8306591.870040123,259.0
5952033.976519242,-8308053.896483642,260.0
5884784.461328001,-8321938.34446513,261.0
5833681.022586244,-8334152.29673107,262.0
5781558.180007164,-8348897.859787643,263.0
5728530.086171568,-8366037.55666117,264.0
5674714.736324574,-8385427.1135809375,265.0
5620233.436941081,-8406916.159065587,266.0
5565210.259600538,-8430348.948613005,267.0
5509771.478816095,-8455565.107943453,268.0
5454044.999334604,-8482400.394795952,269.0
5426133.751271784,-8496088.064983357,270.0
5370190.679171323,-8525073.102264028,271.0
5314283.06373157,-8555255.063407632,272.0
5286354.305864625,-8570623.844551694,273.0
5230725.758758992,-8602300.432385651,274.0
5175453.641883565,-8634743.915776415,275.0
5120663.5306748245,-8667782.999631133,276.0
5066478.546692094,-8701247.989631237,277.0
5013018.789555494,-8734971.55588414,278.0
4960400.796996944,-8768789.467631882,279.0
4908737.017546332,-8802541.315714614,280.0
4858135.298150494,-8836071.206091044,281.0
4808698.404568151,-8869228.432208149,282.0
4760523.559884777,-8901868.10395629,283.0
4713702.014187298,-8933851.762152823,284.0
4624451.54239143,-8995332.670889817,285.0
4582171.776664111,-9024590.031267203,286.0
4541542.983005222,-9052712.520605411,287.0
4502621.157800416,-9079601.497590452,288.0
4465454.413693135,-9105167.514785085,289.0
4430082.79592792,-9129330.628096994,290.0
4396538.131847073,-9152020.642794872,291.0
4364843.926644574,-9173177.319449468,292.0
4335015.292383395,-9192750.519762134,293.0
4307058.928324816,-9210700.30229957,294.0
4280973.132225709,-9226996.974813996,295.0
4256747.865591551,-9241621.077545227,296.0
4234364.847996418,-9254563.328674125,297.0
4213797.701455107,-9265824.517455872,298.0
4195012.126333063,-9275415.336127566,299.0
4177966.122177113,-9283356.17730672,300.0
4162610.241141349,-9289676.873503674,301.0
4148887.8851563702,-9294416.393219374,302.0
4136735.628262062,-9297622.494741762,303.0
4126083.575663559,-9299351.333187968,304.0
4116855.758908944,-9299667.036377052,305.0
4108970.549113038,-9298641.231722172,306.0
4108970.549113038,-9298641.231722172,307.0
4097231.961513503,-9292523.819386942,308.0
4092801.859201021,-9288002.671776744,309.0
4089339.460534624,-9282492.621922864,310.0
4086742.1554584857,-9276094.479642972,311.0
4084904.664628209,-9268913.124966376,312.0
4083719.5874155182,-9261056.864707394,313.0
4083077.960815589,-9252636.774567127,314.0
4082847.7782187695,-9248332.640964648,315.0
4082838.0230052527,-9239255.48159293,316.0
4083278.257217274,-9225166.857895069,317.0
4083745.4200867023,-9215595.91865804,318.0
4084206.864944554,-9206035.157362057,319.0
4084555.84322487,-9196598.498373996,320.0
4084687.921743684,-9187398.01259121,321.0
4084501.49205644,-9178543.289599609,322.0
4083898.269548592,-9170140.843227567,323.0
4082783.767548261,-9162293.526005408,324.0
4081067.743699288,-9155099.982586702,325.0
4078664.63051514,-9148654.12765986,326.0
4078664.63051514,-9148654.12765986,327.0
4071176.569919694,-9138686.70290567,328.0
4066230.155259904,-9135016.467753692,329.0
4060310.638572289,-9132410.778294718,330.0
4053361.175387109,-9130933.215026977,331.0
4045331.454048759,-9130640.288547838,332.0
4036177.8815487768,-9131581.19947478,333.0
4025863.724471308,-9133797.644007338,334.0
4014359.213008001,-9137323.668840704,335.0
3987695.16829495,-9148401.873240944,336.0
3972511.226011706,-9155983.289387807,337.0
3956088.012962429,-9164932.823931849,338.0
3938430.596446528,-9175245.85896952,339.0
3919550.713313285,-9186910.320417786,340.0
3899466.5656102,-9199906.888407957,341.0
3855789.112635851,-9229784.460875517,342.0
3832262.135354076,-9246593.206016112,343.0
3832620.108501244,-9246196.480048848,344.0
3808005.430883491,-9264210.516196368,345.0
3739994.7149774064,-9290109.593886154,346.0
3696752.579650609,-9314231.141798928,347.0
3687137.607970045,-9317774.544532472,348.0
3677956.448208586,-9324861.34999956,349.0
3609350.1207223088,-9347081.137809988,350.0
3577121.9613499227,-9370193.038906438,351.0
3517311.979612312,-9394127.235930676,352.0
3479349.4981449214,-9418812.040243823,353.0
3417953.4619738795,-9444174.619955836,354.0
3417953.4619738795,-9445174.619639557,355.0
3417953.4619738795,-9447674.61968375,356.0
3417953.4619738795,-9447174.62012019,357.0
3417953.4619738795,-9448174.61980391,358.0
3417953.4619738795,-9449174.619487628,359.0
3386164.988275718,-9470141.753558446,360.0
3386164.988275718,-9470141.753558446,361.0
3386164.988275718,-9470141.753558448,362.0
3386164.988275718,-9470141.753558448,363.0
3386164.988275718,-9470141.753558448,364.0
