LATITUDE,LONGITUDE,SLDF,OBSERVATION DATE
3590533.853526841,-10744270.559150176,0.6103083782010748,43101.0
3590533.853526841,-10744270.559150176,0.6103083782010748,43101.0
3385182.202825687,-10870746.36559419,0.6520703725503872,43101.0
3461374.3885839405,-10717140.184736155,0.6681840444819455,43101.0
3461374.3885839405,-10717140.184736155,0.6681840444819455,43101.0
3494834.702160252,-10677206.621727528,0.6685849817632628,43101.0
3494834.702160252,-10677206.621727528,0.6685849817632628,43101.0
3494834.702160252,-10677206.621727528,0.6685849817632628,43101.0
3494834.702160252,-10677206.621727528,0.6685849817632628,43101.0
3295492.023417532,-10780921.655465731,0.6741272492371734,43101.0
3256883.52430746,-10895732.125490282,0.7249854282152155,43101.0
3253634.9798536166,-10894809.409363046,0.7269370865531202,43101.0
3185650.1153363497,-10910774.394322705,0.7719183276789467,43101.0
3016974.6615315415,-10945131.374044195,0.9730295523331797,43101.0
3016233.8001305303,-10946355.732595636,0.9752025821704035,43101.0
3016233.8001305303,-10946355.732595636,0.9752025821704035,43101.0
3016233.8001305303,-10946355.732595636,0.9752025821704035,43101.0
3016233.8001305303,-10946355.732595636,0.9752025821704035,43101.0
3016233.8001305303,-10946355.732595636,0.9752025821704035,43101.0
3016233.8001305303,-10946355.732595636,0.9752025821704035,43101.0
3016233.8001305303,-10946355.732595636,0.9752025821704035,43101.0
3016233.8001305303,-10946355.732595636,0.9752025821704035,43101.0
3016233.8001305303,-10946355.732595636,0.9752025821704035,43101.0
3016233.8001305303,-10946355.732595636,0.9752025821704035,43101.0
3016233.8001305303,-10946355.732595636,0.9752025821704035,43101.0
3469980.5620387555,-11814078.428379456,1.4363858681948096,43101.0
3469980.5620387555,-11814078.428379456,1.4363858681948096,43101.0
3467661.3394578537,-11814785.474125229,1.438412655719502,43101.0
3467661.3394578537,-11814785.474125229,1.438412655719502,43101.0
3535200.4493444944,-10280980.946519442,0.5039294419772745,43102.0
