mse_longitude,mse_latitude,rmse_longitude,rmse_latitude,r2_score_longitude,r2_score_latitude
1113918523.8762438,1761782804.9732707,33375.417958075726,41973.59652178105,0.995177962241674,0.9992497108433513
1113943464.029037,1772194023.5757759,33375.79158655323,42097.43488118695,0.9951793491215374,0.9992443354534933
1115558141.365456,1774942337.87224,33399.97217611799,42130.06453676804,0.9952087164452519,0.9992399937158767
1213222506.4619737,1829130317.270259,34831.34373609456,42768.33311306695,0.995200973455764,0.9992013508905783
1392011918.8214521,1841546616.2233143,37309.67594098684,42913.24523061982,0.9939374975799661,0.9992111343514721
1499478989.4708614,1890914026.9009888,38723.106660892554,43484.64127598374,0.9936856633244959,0.9991791486648598
1392011918.8214521,1841546616.2233143,37309.67594098684,42913.24523061982,0.9939374975799661,0.9992111343514721
1113943464.029037,1772194023.5757759,33375.79158655323,42097.43488118695,0.9951793491215374,0.9992443354534933
1113943464.029037,1772194023.5757759,33375.79158655323,42097.43488118695,0.9951793491215374,0.9992443354534933
1147742564.9955068,1763104276.8328323,33878.349502233825,41989.335274958,0.9953173931479076,0.9992424055094953
1168831759.457919,1654177418.870725,34188.18157577146,40671.57998984948,0.9948473859373044,0.9992881102635834
1060112991.8156314,1694171199.7990918,32559.376403973576,41160.310977920126,0.995983104442592,0.9992639745350245
1103870298.6604059,1781952313.9364004,33224.54361854209,42213.17701780334,0.9952079082673333,0.9992483400683377
