LATITUDE,LONGITUDE,OBSERVATION DATE
3295492.023417532,-10780921.655465731,43101
3494834.702160252,-10677206.621727528,43101
3494834.702160252,-10677206.621727528,43101
3494834.702160252,-10677206.621727528,43101
3494834.702160252,-10677206.621727528,43101
3253634.9798536166,-10894809.409363046,43101
3256883.52430746,-10895732.125490282,43101
3590533.853526841,-10744270.559150176,43101
3590533.853526841,-10744270.559150176,43101
3467661.3394578537,-11814785.474125229,43101
3467661.3394578537,-11814785.474125229,43101
3467661.3394578537,-11814785.474125229,43101
3467661.3394578537,-11814785.474125229,43101
3016974.6615315415,-10945131.374044195,43101
3016233.8001305303,-10946355.732595636,43101
3016233.8001305303,-10946355.732595636,43101
3185650.1153363497,-10910774.394322705,43101
3016233.8001305303,-10946355.732595636,43101
3016233.8001305303,-10946355.732595636,43101
3469980.5620387555,-11814078.428379456,43101
3469980.5620387555,-11814078.428379456,43101
3385182.202825687,-10870746.36559419,43101
3016233.8001305303,-10946355.732595636,43101
3016233.8001305303,-10946355.732595636,43101
3016233.8001305303,-10946355.732595636,43101
3016233.8001305303,-10946355.732595636,43101
3461374.3885839405,-10717140.184736155,43101
3461374.3885839405,-10717140.184736155,43101
3468330.1544072293,-9465350.084000897,43101
3468330.1544072293,-9465350.084000897,43101
3016233.8001305303,-10946355.732595636,43101
3016233.8001305303,-10946355.732595636,43101
3016233.8001305303,-10946355.732595636,43101
3468330.1544072293,-9465350.084000897,43101
3468330.1544072293,-9465350.084000897,43101
3295492.023417532,-10780921.655465731,43102
3494834.702160252,-10677206.621727528,43102
3494834.702160252,-10677206.621727528,43102
3494834.702160252,-10677206.621727528,43102
3494834.702160252,-10677206.621727528,43102
3253634.9798536166,-10894809.409363046,43102
3256883.52430746,-10895732.125490282,43102
3590533.853526841,-10744270.559150176,43102
3590533.853526841,-10744270.559150176,43102
3467661.3394578537,-11814785.474125229,43102
3467661.3394578537,-11814785.474125229,43102
3467661.3394578537,-11814785.474125229,43102
3467661.3394578537,-11814785.474125229,43102
3016974.6615315415,-10945131.374044195,43102
3016233.8001305303,-10946355.732595636,43102
3016233.8001305303,-10946355.732595636,43102
3185650.1153363497,-10910774.394322705,43102
3016233.8001305303,-10946355.732595636,43102
3016233.8001305303,-10946355.732595636,43102
3469980.5620387555,-11814078.428379456,43102
3469980.5620387555,-11814078.428379456,43102
3385182.202825687,-10870746.36559419,43102
3016233.8001305303,-10946355.732595636,43102
3016233.8001305303,-10946355.732595636,43102
